,Neutral,Avoid,Paved,Mean,Mean Change
0,258.86558985710144,258.86558985710144,293.2283458709717,270.31984186172485,
5,227.13607358932495,227.13607358932495,254.77339458465576,236.3485139211019,-33.971327940622956
10,203.0407280921936,203.0407280921936,228.45616459846497,211.51254026095071,-24.835973660151183
15,177.45677638053894,177.45677638053894,197.8098361492157,184.24112963676453,-27.27141062418619
20,164.81391072273254,164.81391072273254,177.51316809654236,169.04699651400247,-15.194133122762054
25,144.90149998664856,144.90149998664856,157.54786825180054,149.11695607503256,-19.93004043896991
30,137.03859877586365,137.03859877586365,148.9523994922638,141.00986568133035,-8.107090393702208
35,124.04295825958252,124.04295825958252,132.9912748336792,127.02573045094807,-13.984135230382279
40,124.08404660224915,124.08404660224915,127.78576374053955,125.31795231501262,-1.707778135935456
45,117.83340787887573,117.83340787887573,119.6838846206665,118.45023345947266,-6.867718855539962
50,113.87317967414856,113.87317967414856,115.6173586845398,114.4545726776123,-3.9956607818603516
