,Neutral,Avoid,Paved,Mean,Mean Change
0,18.0,18.0,15.0,17.0,
5,18.0,18.0,15.0,17.0,0.0
10,18.0,18.0,15.0,17.0,0.0
15,19.0,19.0,15.0,17.666666666666668,0.6666666666666679
20,18.0,18.0,15.0,17.0,-0.6666666666666679
25,18.0,18.0,13.0,16.333333333333332,-0.6666666666666679
30,19.0,19.0,11.0,16.333333333333332,0.0
35,19.0,19.0,11.0,16.333333333333332,0.0
40,18.0,18.0,11.0,15.666666666666666,-0.6666666666666661
45,19.0,19.0,13.0,17.0,1.333333333333334
50,18.0,18.0,13.0,16.333333333333332,-0.6666666666666679
