,Neutral,Avoid,Paved,Mean,Mean Change
0.5,6.0,6.0,9.0,7.0,
0.55,8.0,8.0,11.0,9.0,2.0
0.6000000000000001,11.0,11.0,13.0,11.666666666666666,2.666666666666666
0.6500000000000001,10.0,10.0,14.0,11.333333333333334,-0.33333333333333215
0.7000000000000002,19.0,19.0,18.0,18.666666666666668,7.333333333333334
0.7500000000000002,16.0,16.0,23.0,18.333333333333332,-0.3333333333333357
0.8000000000000003,19.0,19.0,24.0,20.666666666666668,2.3333333333333357
0.8500000000000003,21.0,21.0,28.0,23.333333333333332,2.6666666666666643
0.9000000000000004,48.0,48.0,47.0,47.666666666666664,24.333333333333332
0.9500000000000004,108.0,108.0,133.0,116.33333333333333,68.66666666666666
1.0,247.0,247.0,242.0,245.33333333333334,129.0
