,Neutral,Avoid,Paved,Mean,Mean Change
50,12.0,12.0,13.0,12.333333333333334,
60,12.0,12.0,13.0,12.333333333333334,0.0
70,9.0,9.0,12.0,10.0,-2.333333333333334
80,11.0,11.0,9.0,10.333333333333334,0.3333333333333339
90,11.0,11.0,9.0,10.333333333333334,0.0
100,9.0,9.0,6.0,8.0,-2.333333333333334
110,5.0,5.0,5.0,5.0,-3.0
120,5.0,5.0,5.0,5.0,0.0
130,5.0,5.0,2.0,4.0,-1.0
140,5.0,5.0,2.0,4.0,0.0
150,3.0,3.0,2.0,2.6666666666666665,-1.3333333333333335
160,3.0,3.0,2.0,2.6666666666666665,0.0
170,3.0,3.0,4.0,3.3333333333333335,0.666666666666667
180,3.0,3.0,1.0,2.3333333333333335,-1.0
190,3.0,3.0,1.0,2.3333333333333335,0.0
200,3.0,3.0,0.0,2.0,-0.3333333333333335
210,3.0,3.0,0.0,2.0,0.0
220,3.0,3.0,0.0,2.0,0.0
230,3.0,3.0,0.0,2.0,0.0
240,3.0,3.0,0.0,2.0,0.0
250,3.0,3.0,1.0,2.3333333333333335,0.3333333333333335
260,3.0,3.0,0.0,2.0,-0.3333333333333335
270,3.0,3.0,0.0,2.0,0.0
280,3.0,3.0,0.0,2.0,0.0
290,3.0,3.0,0.0,2.0,0.0
300,3.0,3.0,0.0,2.0,0.0
