,Avoid,Paved
50,170.5217129997145,177.35586857046195
55,170.5217129997145,177.3558685704618
60,170.5217129997145,177.32700527792665
65,171.27563249767562,177.32700527792665
70,153.64269519935786,178.14822858613311
75,149.89451445127798,179.48104676490638
80,153.1270592089462,182.6044354188885
85,153.1270592089462,182.6044354188885
90,153.1270592089462,182.6044354188885
95,152.3261457864406,180.36700033422653
100,161.87668736265107,172.54807261205738
105,167.59116231816256,172.33036360202533
110,173.1325869978322,172.33036360202533
115,173.1325869978322,172.33036360202533
120,173.1325869978322,172.33036360202533
125,173.1325869978322,174.68851724314155
130,173.1325869978322,181.09108951048984
135,173.1325869978322,181.09108951048984
140,173.1325869978322,181.09108951048984
145,190.24457716937772,181.09108951048984
150,190.24457716937772,181.09108951048984
155,191.18907519725266,181.09108951048984
160,191.18907519725266,181.09108951048984
165,191.18907519725266,181.09108951048984
170,190.24457716937772,192.4574365056119
175,190.24457716937772,192.4574365056119
180,190.24457716937772,210.76484523436739
185,190.24457716937772,210.76484523436739
190,190.24457716937772,210.76484523436739
195,190.24457716937772,0.0
200,190.24457716937772,0.0
