,Neutral,Avoid,Paved,Mean,Mean Change
0,63.59544563293457,63.59544563293457,61.30800771713257,62.832966327667236,
5,60.661064863204956,60.661064863204956,58.67219662666321,59.998108784357704,-2.834857543309532
10,50.66132044792175,50.66132044792175,51.22508502006531,50.849241971969604,-9.1488668123881
15,43.78105568885803,43.78105568885803,42.851733684539795,43.47128168741862,-7.377960284550987
20,42.0577871799469,42.0577871799469,41.89366340637207,42.00307925542196,-1.4682024319966587
25,37.3581748008728,37.3581748008728,35.21685314178467,36.64440091451009,-5.358678340911865
30,32.285428047180176,32.285428047180176,30.843773365020752,31.80487648646037,-4.8395244280497245
35,30.295058727264404,30.295058727264404,28.675909519195557,29.755342324574787,-2.049534161885582
40,27.989386796951294,27.989386796951294,27.603946924209595,27.860906839370728,-1.8944354852040597
45,25.403573513031006,25.403573513031006,25.061824321746826,25.28965711593628,-2.5712497234344482
50,24.777166604995728,24.777166604995728,24.630662202835083,24.728331804275513,-0.5613253116607666
