Distance,State,Elapsed time,N Paths,N stoplights,N steps,N paved edges,N unpaved edges,N unknown edge surfaces,Path badness
2000,neutral,3.284189233779907,6.48,3.962156598835456,0.0,13.435765716857295,0.683621762325466,19.973920737739583,
2000,avoid,3.36497127532959,6.49,3.443443639536424,0.0,13.376488436132483,0.6985324328334785,20.372479436473903,13.177933965313496
2000,prefer,3.2637109994888305,6.56,3.981462475468112,0.0,14.001482969079587,0.6312726249119164,19.755953484399537,35.215451556541794
2000,paved,2.803088376522064,6.13,4.684140885286799,0.0,13.734972262550563,0.7563991563991564,20.278963417676177,616.7281180651197
5000,neutral,12.309361350536346,6.73,12.774636956455824,0.0120481927710843,35.33875587300596,1.2616728783070958,45.04903511504281,
5000,avoid,11.638411440849303,5.92,10.583969994479414,0.0,36.92730552400019,1.2198376287371415,44.88969954286612,41.81110765213209
5000,prefer,11.170226593017578,5.54,13.067860300024194,0.0125,38.855550305409245,0.975833483585128,42.67502659844455,75.71813023411059
5000,paved,6.310393400192261,3.07,14.617993510895662,0.0,35.54171665374408,1.1497831918513906,45.13446227399155,1511.9165981313135
10000,neutral,57.703033916950226,8.28,28.62783016353176,0.0,74.77822798481176,2.095853490078475,84.84965600008056,
10000,avoid,51.98822439193726,7.26,22.438839096274258,0.0,74.09879720670513,2.222355228484448,86.4911074422045,97.81434910763817
10000,prefer,50.20476701259613,6.41,30.366459387264474,0.0,79.23051151287085,1.7382446950168975,81.50678826022015,146.66128995069167
10000,paved,18.52877049446106,1.62,37.88699020277968,0.0,81.07268170426065,2.5201678438520543,84.49739880003038,2953.12020826227
15000,neutral,137.47995334386826,8.38,48.33650208389145,0.0235294117647058,117.02400534772232,2.948802597852862,123.77445277993765,
15000,avoid,120.5240721487999,5.77,37.22466968599488,0.0,116.0806970328822,3.596826830402958,126.0554737972971,161.1803672238228
15000,prefer,116.99004030942916,5.88,51.995904789783665,0.0,130.81019469937098,2.685853071120486,120.70631017093072,206.94757605253068
15000,paved,34.5022348356247,0.62,60.10606060606061,0.0,117.26262626262628,2.2904040404040407,125.8030303030303,4410.161705356719
