,Neutral,Avoid,Paved,Mean,Mean Change
50,18.0,18.0,13.0,16.333333333333332,
55,16.0,16.0,12.0,14.666666666666666,-1.666666666666666
60,16.0,16.0,12.0,14.666666666666666,0.0
65,18.0,18.0,13.0,16.333333333333332,1.666666666666666
70,18.0,18.0,12.0,16.0,-0.33333333333333215
75,14.0,14.0,11.0,13.0,-3.0
80,13.0,13.0,11.0,12.333333333333334,-0.6666666666666661
85,12.0,12.0,11.0,11.666666666666666,-0.6666666666666679
90,11.0,11.0,11.0,11.0,-0.6666666666666661
95,10.0,10.0,9.0,9.666666666666666,-1.333333333333334
100,9.0,9.0,9.0,9.0,-0.6666666666666661
105,10.0,10.0,8.0,9.333333333333334,0.3333333333333339
110,10.0,10.0,8.0,9.333333333333334,0.0
115,10.0,10.0,8.0,9.333333333333334,0.0
120,6.0,6.0,6.0,6.0,-3.333333333333334
125,6.0,6.0,6.0,6.0,0.0
130,9.0,9.0,6.0,8.0,2.0
135,9.0,9.0,6.0,8.0,0.0
140,6.0,6.0,7.0,6.333333333333333,-1.666666666666667
145,6.0,6.0,7.0,6.333333333333333,0.0
150,6.0,6.0,6.0,6.0,-0.33333333333333304
155,6.0,6.0,6.0,6.0,0.0
160,6.0,6.0,6.0,6.0,0.0
165,6.0,6.0,6.0,6.0,0.0
170,6.0,6.0,5.0,5.666666666666667,-0.33333333333333304
175,6.0,6.0,5.0,5.666666666666667,0.0
180,6.0,6.0,5.0,5.666666666666667,0.0
185,6.0,6.0,5.0,5.666666666666667,0.0
190,6.0,6.0,5.0,5.666666666666667,0.0
195,6.0,6.0,5.0,5.666666666666667,0.0
200,7.0,7.0,7.0,7.0,1.333333333333333
